variable,coef,model
cruelty,-0.17726921052942762,Baseline_LR
daewoo,-0.3672049232055321,Baseline_LR
darkening,0.07730792330878172,Baseline_LR
dedicated,0.08748265511766554,Baseline_LR
deluxe,-0.1340990030094486,Baseline_LR
denon,-0.13133204364645926,Baseline_LR
designer,0.06044304161965366,Baseline_LR
di,0.008741078104913322,Baseline_LR
dietrich,0.8370117937909548,Baseline_LR
different,0.043168688324604625,Baseline_LR
differet,0.16978503350104943,Baseline_LR
digital,-0.029310095603219677,Baseline_LR
dining,-0.13675931460653679,Baseline_LR
dinnerware,-0.0078111178972777836,Baseline_LR
dishes,0.06548531123094414,Baseline_LR
dishwasher,-0.026591547935520196,Baseline_LR
dispenser,0.3317179588242824,Baseline_LR
door,0.3665548776500679,Baseline_LR
dot,0.5605032074757114,Baseline_LR
double,-0.18455494386178486,Baseline_LR
dove,0.030907343161312655,Baseline_LR
dr,0.13751819655675873,Baseline_LR
dresser,-0.05323849452414934,Baseline_LR
driveway,-0.03694144579464182,Baseline_LR
dropoff,-0.019736430361545685,Baseline_LR
drug,-0.050974253709343297,Baseline_LR
dryer,-0.025188170776987345,Baseline_LR
drying,-0.0475907390203658,Baseline_LR
ductless,0.14863894308066408,Baseline_LR
dvd,-0.21828143374243378,Baseline_LR
ears,-0.019587663964910386,Baseline_LR
earth,0.17380649104256843,Baseline_LR
echo,-0.1836769704770773,Baseline_LR
eco,0.10309704047281981,Baseline_LR
ecological,-0.6383214542342682,Baseline_LR
eden,-0.052392604544123096,Baseline_LR
edifier,-0.1715408643570282,Baseline_LR
electric,0.08146949044522235,Baseline_LR
electrolux,-0.12408161631219874,Baseline_LR
elemis,0.24792051543013358,Baseline_LR
elevator,-0.038938426580887975,Baseline_LR
elseve,-0.33962597045833703,Baseline_LR
elvive,-0.13545257368976754,Baseline_LR
emme,-0.007255438326241819,Baseline_LR
en,0.7277041060517111,Baseline_LR
end,-0.8240341417180674,Baseline_LR
english,-0.8703884721107491,Baseline_LR
entrance,-0.019213486450601194,Baseline_LR
essences,0.45129586353295226,Baseline_LR
essentials,-0.28259925801609537,Baseline_LR
ethernet,-0.0012890436133068844,Baseline_LR
ev,0.0236399990716806,Baseline_LR
expensive,0.13993560253537535,Baseline_LR
extinguisher,0.003326849398738672,Baseline_LR
extra,0.605013451410403,Baseline_LR
faith,0.08668793741788498,Baseline_LR
falcon,0.21991140970258577,Baseline_LR
family,-0.14457809761027776,Baseline_LR
fan,0.27729648966790854,Baseline_LR
fancy,1.3733225169537377,Baseline_LR
fans,-0.11293197408375391,Baseline_LR
farm,-0.2640641369036616,Baseline_LR
fast,0.06017935175749426,Baseline_LR
fenced,-0.060221925804902446,Baseline_LR
fi,0.08680116687988716,Baseline_LR
fiils,-0.5159737319944441,Baseline_LR
fine,-0.2061521613971663,Baseline_LR
fireplace,0.3020156382859119,Baseline_LR
fischer,-0.2858555260405513,Baseline_LR
fisher,0.010959611406488677,Baseline_LR
fitted,0.16978503350104943,Baseline_LR
folding,-0.043008481338827176,Baseline_LR
forever,0.008419279437669633,Baseline_LR
fragrance,0.2547322055318149,Baseline_LR
free,0.05265114240377024,Baseline_LR
freezer,0.05849807640206104,Baseline_LR
french,-0.15701839270642234,Baseline_LR
frezee,-0.09590143147800569,Baseline_LR
fridge,-0.008608101305149645,Baseline_LR
fridgemaster,0.07755617343292667,Baseline_LR
fridges,-0.5682756323161484,Baseline_LR
frieda,-0.9104026661287175,Baseline_LR
friendly,-0.17279768380918542,Baseline_LR
fryer,-0.1717672937783287,Baseline_LR
furniture,-0.10396350281068623,Baseline_LR
gaggenau,-0.09561606820173325,Baseline_LR
game,-0.02502598207746268,Baseline_LR
games,-0.0010122824931769491,Baseline_LR
garage,-0.02395911104847388,Baseline_LR
garden,0.021848151202471508,Baseline_LR
gardens,-0.055968172632875374,Baseline_LR
garnier,0.510538817622949,Baseline_LR
gas,0.04650654754206253,Baseline_LR
gates,-0.19755467581012498,Baseline_LR
gel,0.01923836724010688,Baseline_LR
general,-0.009370846370678509,Baseline_LR
generic,-0.03282947397499087,Baseline_LR
geneva,-0.13552101572088268,Baseline_LR
geranium,0.20452657134304694,Baseline_LR
german,0.016043353125522082,Baseline_LR
gilchrist,-0.11170010795862238,Baseline_LR
ginger,-0.2640641369036616,Baseline_LR
glass,-0.8646323136781022,Baseline_LR
glasses,-0.25536245546751934,Baseline_LR
gluten,-0.2640641369036616,Baseline_LR
good,-0.1820860962252765,Baseline_LR
google,0.20677088397544402,Baseline_LR
gorenje,0.004616213661706487,Baseline_LR
grapefruit,-0.3624010525075918,Baseline_LR
greets,0.0012420930357575947,Baseline_LR
grill,-0.240373206393436,Baseline_LR
grown,0.06257662791567839,Baseline_LR
guards,-0.33897714949311947,Baseline_LR
guest,-0.1031262655721344,Baseline_LR
guests,-0.05151149535669551,Baseline_LR
gym,0.009072652311301985,Baseline_LR
hair,0.06041066181698344,Baseline_LR
hand,0.3782648113548325,Baseline_LR
handmade,-0.07740156464626051,Baseline_LR
hangers,-0.033065599442807965,Baseline_LR
happy,0.13746833507240566,Baseline_LR
harding,0.4897559575210598,Baseline_LR
harman,-0.7882489727650583,Baseline_LR
harmon,-1.0632010228600608,Baseline_LR
harris,0.03839287578723441,Baseline_LR
hbo,0.03710140227147564,Baseline_LR
hdtv,0.09169862575791346,Baseline_LR
head,0.031222172586966922,Baseline_LR
heated,0.21475112326718185,Baseline_LR
heater,-0.12148599957865192,Baseline_LR
heating,-0.30736263557144017,Baseline_LR
hemme,-0.09306272020954778,Baseline_LR
henry,0.10387525124532203,Baseline_LR
herbal,-0.3920320809285311,Baseline_LR
hi,0.08680116687988716,Baseline_LR
hide,-0.5505856401817284,Baseline_LR
high,0.6608527145560764,Baseline_LR
himalayan,0.0001423619248676386,Baseline_LR
hisense,-0.07498280357753863,Baseline_LR
hob,-0.04774128648466967,Baseline_LR
hobbs,-0.15690837907059274,Baseline_LR
hobs,0.2112801238890833,Baseline_LR
home,-0.11243669625240146,Baseline_LR
homepod,-0.3336537466632279,Baseline_LR
homepods,0.25105739867487287,Baseline_LR
hoover,0.058857319904267236,Baseline_LR
host,0.0012420930357575947,Baseline_LR
hot,0.29184925966340375,Baseline_LR
hotel,0.036460338980118384,Baseline_LR
hotels,-0.2640641369036616,Baseline_LR
hotpoint,-0.018134154558807222,Baseline_LR
hours,0.04203127185173661,Baseline_LR
house,0.795183672067429,Baseline_LR
howdens,-0.1998805286527163,Baseline_LR
ice,0.2844321102531156,Baseline_LR
icebox,0.2138215865822397,Baseline_LR
iceking,-0.07906202541292583,Baseline_LR
ikea,0.003916018851724585,Baseline_LR
ilve,0.1512894894484582,Baseline_LR
impereal,0.0550536042675614,Baseline_LR
imperial,0.017116533715997008,Baseline_LR
including,0.16057415643850204,Baseline_LR
indecit,0.33401118121377343,Baseline_LR
indenti,0.05446594293552008,Baseline_LR
indesit,0.07259974844204037,Baseline_LR
indoor,-0.33589643674672337,Baseline_LR
induction,0.030369512837775534,Baseline_LR
integrated,-0.3260987048935878,Baseline_LR
iron,-0.0051778464621234895,Baseline_LR
italy,-0.4885317191118591,Baseline_LR
jardin,0.022686696991240738,Baseline_LR
jasann,-0.28552259591342,Baseline_LR
jason,-0.005607496633146261,Baseline_LR
jbl,-0.029520877872575384,Baseline_LR
john,0.7629028310686191,Baseline_LR
johnson,0.7637536979971492,Baseline_LR
jour,-0.03443607219863301,Baseline_LR
just,0.029299373348502602,Baseline_LR
jvc,-0.31762099163562013,Baseline_LR
kardon,0.5407825294972122,Baseline_LR
karman,0.6186248112059507,Baseline_LR
kayak,-0.04735639681166783,Baseline_LR
kef,0.41953136259067475,Baseline_LR
kelp,1.4364898940976918,Baseline_LR
kenwood,0.11865747897013221,Baseline_LR
kettle,0.010305854442671555,Baseline_LR
keurig,-0.3427044509890751,Baseline_LR
kew,-0.055968172632875374,Baseline_LR
keypad,0.0837466444463201,Baseline_LR
kinsey,-0.0009204464702162108,Baseline_LR
kit,0.019321856821489545,Baseline_LR
kitchen,-0.12131340399744178,Baseline_LR
